551,Resident Evil: Code Veronica X,PS4,Capcom,Japan
552,Resident Evil 0,PS4,Capcom,Japan
553,Resident Evil (2002),PS4,Capcom,Japan
554,Resident Evil 4 (2005),PS4,Capcom,Japan
555,Resident Evil 5,PS4,Capcom,Japan
556,Resident Evil Revelations,PS4,Capcom,Japan
557,Resident Evil 6,PS4,Capcom,Japan
558,Resident Evil Revelations 2,PS4,Capcom,Japan
559,Resident Evil: Resistance,PS4,Capcom,Japan
560,Resident Evil: Re:Verse,PS4,Capcom,Japan
491,Mega Man Legacy Collection 2,PS4,Capcom,Japan
492,Mega Man X Legacy Collection,PS4,Capcom,Japan
493,Mega Man X Legacy Collection 2,PS4,Capcom,Japan
500,Monster Hunter World: Iceborne,PS4,Capcom,Japan
39,Resident Evil: Directors Cut (1997),PS1,Capcom,Japan
40,Resident Evil 2 (1998),PS1,Capcom,Japan
41,Resident Evil 3: Nemesis (1999),PS1,Capcom,Japan
113,Dead Rising 2,PS3,Capcom Vancouver,Canada
838,Grindstone,PS5,Capybara Games,Canada
720,Carnival Games VR,PSVR,Cat Daddy Games,USA
846,Infliction: Extended Cut,PS5,Caustic Reality,Australia
730,EVE: Valkyrie,PSVR,CCP Games,Iceland
811,Cyberpunk 2077,PS5,CD Projekt Red,Poland
915,The Witcher 3: Wild Hunt,PS5,CD Projekt Red,Poland
570,Rogue Legacy,PS4,Cellar Door Games,Canada
537,PONG Quest,PS4,Chequered Ink Ltd,England
323,Chime Sharp,PS4,Chilled Mouse,England
590,Sonic Mania,PS4,Christian Whitehead,Australia
769,The Guy VR,PSVR,Chubby Pixel,Italy
732,Everybody`s Golf VR,PSVR,Clap Hanz,Japan
378,Everybody`s Golf (2017),PS4,Clap Hanz,Japan
77,Everybody`s Golf 2,PSP,Clap Hanz,Japan
234,When Vikings Attack,PS3,Clever Beans,England
904,Sumatra: Fate of Yandi,PS5,Cloak and Dagger Games,England
308,Bridge Constructor,PS4,ClockStone Studios,Austria
515,Okami HD,PS4,Clover Studio,Japan
496,Micro Machines World Series,PS4,Codemasters,England
6,Colin McRae Rally,PS1,Codemasters,England
123,F1 Race Stars,PS3,Codemasters,England
935,F1 23,PS5,Codemasters,England
816,DIRT 5,PS5,Codemasters,England
821,F1 2021,PS5,Codemasters,England
837,GRID Legends,PS5,Codemasters,England
937,Goat Simulator 3,PS5,Coffee Stain Studios,Sweden
408,Goat Simulator,PS4,Coffee Stain Studios,Sweden
104,Beat Hazard Ultra,PS3,Cold Beam Games,England
788,Aliens: Fireteam Elite,PS5,Cold Iron Studios,USA
503,Mortal Shell,PS4,Cold Symmetry,USA
685,Unravel,PS4,Coldwood Interactive,Sweden
324,Cities: Skylines,PS4,Colossal Order,Finland
600,Stardew Valley,PS4,ConcernedApe,USA
53,Tomb Raider (1996),PS1,Core Design,England
54,Tomb Raider II,PS1,Core Design,England
55,Tomb Raider III,PS1,Core Design,England
56,Tomb Raider: Chronicles,PS1,Core Design,England
