314,Call of Duty: Black Ops III,PS4,2022-01-29,69.99,0.00,69.99
912,The Persistence,PS5,2022-01-29,29.99,0.00,29.99
674,UFC 4,PS4,2022-02-01,69.99,0.00,69.99
657,Tiny Tina`s Assault on Dragon Keep: A Wonderlands One-Shot Adventure,PS4,2022-02-01,9.99,0.00,9.99
877,Planet Coaster,PS5,2022-02-01,44.99,0.00,44.99
833,Ghostrunner,PS5,2022-03-01,29.99,0.00,29.99
620,Team Sonic Racing,PS4,2022-03-01,39.99,0.00,39.99
282,ARK: Survival Evolved,PS4,2022-03-01,29.99,0.00,29.99
586,Slay the Spire,PS4,2022-04-05,24.99,0.00,24.99
335,Curse of the Dead Gods,PS4,2022-05-03,19.99,0.00,19.99
827,FIFA 22,PS5,2022-05-03,79.99,0.00,79.99
663,Tribes of Midgard,PS4,2022-05-03,19.99,0.00,19.99
868,Nickelodeon All Stars Brawl,PS5,2022-06-08,49.99,0.00,49.99
476,Little Nightmares,PS4,2022-08-03,19.99,0.00,19.99
505,Need for Speed Heat,PS4,2022-09-07,69.99,0.00,69.99
414,Granblue Fantasy: Versus,PS4,2022-09-07,19.99,0.00,19.99
815,Destroy All Humans 2: Reprobed (2022),PS5,2022-09-07,39.99,0.00,39.99
917,TOEM,PS5,2022-09-07,19.99,0.00,19.99
897,Sonic Origins,PS5,2022-09-13,44.99,0.00,44.99
843,Hot Wheels Unleashed,PS5,2022-10-05,49.99,0.00,49.99
441,Injustice 2,PS4,2022-10-05,19.99,0.00,19.99
839,Heavenly Bodies,PS5,2022-11-02,20.99,0.00,20.99
869,Nioh 2,PS5,2022-11-02,59.99,0.00,59.99
823,Fall Guys: Ultimate Knockout,PS5,2022-12-19,19.99,0.00,19.99
789,Apex Legends,PS5,2022-12-19,0.00,0.00,0.00
272,60 Seconds! Reatomized,PS4,2022-12-20,9.99,0.00,9.99
879,Potion Permit,PS5,2022-12-26,24.99,0.00,24.99
822,F1 Manager,PS5,2022-12-27,54.99,0.00,54.99
413,Good Dog Bad Dog,PS4,2022-12-28,16.99,0.00,16.99
794,Axiom Verge 2,PS5,2023-01-03,17.99,0.00,17.99
814,Destiny 2,PS5,2023-02-07,29.99,0.00,29.99
841,Hogwarts Legacy,PS5,2023-02-07,84.99,0.00,84.99
236,Yakuza: Dead Souls,PS3,2023-02-14,19.99,0.00,19.99
195,Saints Row 2,PS3,2023-02-14,4.99,0.00,4.99
327,Code Vein,PS4,2023-03-07,69.99,0.00,69.99
497,Minecraft Dungeons,PS4,2023-03-07,19.99,0.00,19.99
795,Battlefield 2042,PS5,2023-03-07,79.99,0.00,79.99
