794,Axiom Verge 2,2023-01-03,17.99,0.00,17.99
643,The Outer Worlds,2023-02-03,59.99,19.79,40.20
916,Tiny Tina`s Wonderlands: Chaotic Great Edition,2023-02-03,89.99,44.99,45.00
814,Destiny 2,2023-02-07,29.99,0.00,29.99
841,Hogwarts Legacy,2023-02-07,84.99,0.00,84.99
527,Party Hard 2,2023-02-08,19.99,4.99,15.00
374,Empire of Sin: Deluxe Edition,2023-02-10,49.99,12.49,37.50
236,Yakuza: Dead Souls,2023-02-14,19.99,0.00,19.99
195,Saints Row 2,2023-02-14,4.99,0.00,4.99
848,Judgment,2023-02-26,39.99,15.97,24.02
795,Battlefield 2042,2023-03-07,79.99,0.00,79.99
327,Code Vein,2023-03-07,69.99,0.00,69.99
497,Minecraft Dungeons,2023-03-07,19.99,0.00,19.99
581,Shadow of the Tomb Raider,2023-03-29,39.99,6.98,33.01
878,Postal 4: No Regerts,2023-03-29,44.99,0.00,44.99
863,Meet Your Maker,2023-04-04,0.00,0.00,0.00
905,Tails of Iron,2023-04-04,24.99,0.00,24.99
229,Tomb Raider (2013),2023-04-20,14.99,5.00,9.99
276,Action Henk,2023-05-02,14.99,1.49,13.50
354,Descenders,2023-05-02,21.99,0.00,21.99
365,Don`t Starve,2023-05-02,13.99,3.49,10.50
411,Godlike Burger,2023-05-02,19.99,7.99,12.00
739,Horror Bar VR,2023-05-02,19.99,12.99,7.00
837,GRID Legends,2023-05-02,69.99,0.00,69.99
920,Tunic,2023-05-04,29.99,0.00,29.99
867,New Tales from the Borderlands,2023-05-12,39.99,19.99,20.00
670,Turnip Boy Commits Tax Evasion,2023-05-12,14.99,11.24,3.75
696,Wolfenstein: The New Order,2023-05-12,19.99,3.50,16.49
697,Wolfenstein: The Old Blood,2023-05-12,19.99,3.50,16.49
698,Wolfenstein II: The New Colossus,2023-05-12,39.99,3.50,36.49
699,Wolfenstein: Youngblood,2023-05-12,19.99,3.49,16.50
307,Breaking Enigma,2023-05-24,10.99,0.54,10.45
828,FIFA 23,2023-05-24,79.99,31.99,48.00
906,Tchia,2023-06-03,29.99,17.49,12.50
919,Trek to Yomi,2023-06-06,19.99,0.00,19.99
866,NBA 2K23,2023-06-06,39.99,0.00,39.99
849,Jurassic World Evolution 2,2023-06-06,59.99,0.00,59.99
819,Endling: Extinction is Forever,2023-07-04,29.99,0.00,29.99
801,Call of Duty: Black Ops Cold War,2023-07-04,74.99,0.00,74.99
787,Alan Wake Remastered,2023-07-04,29.99,0.00,29.99
812,Death`s Door,2023-08-02,19.99,0.00,19.99
922,Two Point Campus,2023-08-05,29.99,14.99,15.00
893,Saints Row (2022),2023-09-05,69.99,0.00,69.99
403,Generation Zero,2023-09-05,29.99,0.00,29.99
719,Budget Cuts,2023-09-07,24.99,0.00,24.99
660,Total Arcade Racing,2023-09-07,9.99,0.00,9.99
630,The Amazing American Circus,2023-09-07,19.99,0.00,19.99
501,Monster Prom: XXL,2023-09-07,15.99,0.00,15.99
572,Run Sausage Run!,2023-09-07,4.99,0.00,4.99
818,Dungeon Munchies,2023-09-07,14.99,0.00,14.99
865,Music Racer: Ultimate,2023-09-07,6.99,0.00,6.99
856,Like a Dragon: Ishin,2023-09-07,59.99,0.00,59.99
838,Grindstone,2023-09-08,19.99,0.00,19.99
442,Iris and the Giant,2023-09-08,14.99,0.00,14.99
509,Ni No Kuni II: Revenant Kingdom,2023-09-08,69.99,0.00,69.99
539,Primal,2023-09-08,9.99,0.00,9.99
412,Going Under,2023-09-08,19.99,0.00,19.99
925,Wonder Boy: The Dragon`s Trap,2023-09-08,19.99,0.00,19.99
871,Nour: Play with your Food,2023-09-12,14.99,0.00,14.99
508,Ni No Kuni: Wrath of the White Witch,2023-09-13,49.99,0.00,49.99
884,Resident Evil 4 (2023),2023-09-26,69.99,39.89,30.10
825,Farming Simulator 22,2023-10-03,39.99,0.00,39.99
926,Weird West: Definitive Edition,2023-10-03,39.99,0.00,39.99
908,The Callisto Protocol,2023-10-03,69.99,0.00,69.99
786,A Plague Tale: Requiem,2023-10-15,59.99,29.99,30.00
862,Marvel`s Spider-Man 2: Digital Deluxe Edition,2023-10-20,89.99,0.00,89.99
551,Resident Evil: Code Veronica X,2023-10-25,14.99,0.99,14.00
788,Aliens: Fireteam Elite,2023-11-07,29.99,0.00,29.99
806,Coffee Talk,2023-11-26,13.99,13.99,0.00
807,Coffee Talk Episode 2: Hibiscus and Butterfly,2023-11-26,14.99,10.49,4.50
428,Holy Potatoes! A Weapon Shop?!,2023-11-26,14.99,1.49,13.50
429,Holy Potatoes! We`re in Space?!,2023-11-26,14.99,1.49,13.50
430,Holy Potatoes! What the Hell?!,2023-11-26,14.99,1.49,13.50
312,Bud Spencer & Terence Hill - Slaps and Beans,2023-11-26,19.99,3.99,16.00
346,de Blob,2023-11-26,19.99,3.99,16.00
858,Lost Judgment: Ultimate Edition,2023-12-02,89.99,22.49,67.50
890,Sable,2023-12-05,24.99,0.00,24.99
880,PowerWash Simulator,2023-12-05,24.99,0.00,24.99
854,LEGO 2K Drive,2023-12-05,69.99,0.00,69.99
857,Like a Dragon Gaiden: The Man Who Erased His Name,2023-12-25,54.99,0.00,54.99
