Game,Console,Developer,Country
forma.8,PS4,MixedBag,Italy
Formula Retro Racing,PS4,Repixel8,England
Futuridium,PS4,MixedBag,Italy
Game Of Thrones TTG,PS4,Telltale Games,USA
Geometry Wars 3: Dimensions Evolved,PS4,Lucid Games,England
Ghost Blade HD,PS4,Hucast Games,Germany
Ghost of Tsushima,PS4,Sucker Punch Productions,USA
Ghostbusters,PS4,FireForge Games,USA
Goat Simulator,PS4,Coffee Stain Studios,Sweden
God of War (2018),PS4,Santa Monica Studio,USA
God of War III Remastered,PS4,Santa Monica Studio,USA
Good Dog Bad Dog,PS4,Play Em,USA
Granblue Fantasy: Versus,PS4,Arc System Works,Japan
Grand Ages: Medieval,PS4,Gaming Minds Studios,Germany
Grand Theft Auto III (2001),PS4,Rockstar North,Scotland
Grand Theft Auto: San Andreas (2004),PS4,Rockstar North,Scotland
Grand Theft Auto: Vice City (2002),PS4,Rockstar North,Scotland
Grim Fandango Remastered,PS4,LucasArts,USA
Harvest Moon: A Wonderful Life,PS4,Marvelous Interactive,Japan
Hatoful Boyfriend,PS4,Mediatonic,England
Heart&Slash,PS4,aheartfulofgames,Spain
Heavy Rain,PS4,Quantic Dream,France
Helldivers,PS4,Arrowhead Game Studios,Sweden
Hitman 2,PS4,IO Interactive,Denmark
Hohokum,PS4,Honeyslug,England
Hollow Knight: Voidheart Edition,PS4,Team Cherry,Australia
Home,PS4,Benjamin Rivers Inc,Canada
HoPiKo,PS4,Laser Dog,England
Horizon Zero Dawn,PS4,Guerrilla Games,Netherlands
Hotline Miami,PS4,Dennaton Games,Sweden
Hotline Miami 2: Wrong Number,PS4,Dennaton Games,Sweden
Hue,PS4,Fiddlesticks,England
I am Bread,PS4,Bossa Studios,England
inFamous First Light,PS4,Sucker Punch Productions,USA
inFamous Second Son,PS4,Sucker Punch Productions,USA
Injustice: Gods Among Us,PS4,NetherRealm Studios,USA
Injustice 2,PS4,NetherRealm Studios,USA
Jak 3,PS4,Naughty Dog,USA
Jak and Daxter: The Precursor Legacy,PS4,Naughty Dog,USA
Jak II,PS4,Naughty Dog,USA
Jak X: Combat Racing,PS4,Naughty Dog,USA
Jazzpunk: Director's Cut,PS4,Necrophone Games,Canada
Jetpack Joyride,PS4,Halfbrick Studios,Australia
Journey,PS4,thatgamecompany,USA
Just Die Already,PS4,DoubleMoose Games,Sweden
Kandagawa Jet Girls,PS4,Honey Parade Games,Japan
Katamari Damacy: Reroll,PS4,Namco,Japan
Keep Talking and Nobody Explodes,PS4,Steel Crate Games,Canada
Kingdom Hearts HD 1.5 & 2.5 Remix,PS4,Square Enix,Japan
Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,Square Enix,Japan
Kingdom Hearts III,PS4,Square Enix,Japan
Kingdoms of Amalur: Re-Reckoning,PS4,Kaiko,Germany
Knack,PS4,Team Asobi,Japan
Knack 2,PS4,Team Asobi,Japan
LA Cops,PS4,Modern Dream,England
LEGO City Undercover,PS4,TT Games,England
LEGO DC Super-Villains,PS4,TT Games,England
LEGO Harry Potter Collection,PS4,TT Games,England
LEGO Marvel Super-Heroes,PS4,TT Games,England
Leisure Suit Larry: Wet Dreams Don't Dry,PS4,CrazyBunch,Germany
Leisure Suit Larry: Wet Dreams Dry Twice,PS4,CrazyBunch,Germany
Lichtspeer,PS4,Lichthund,Poland
Life Is Strange,PS4,Dontnod Entertainment,France
Little Nightmares,PS4,Tarsier Studios,Sweden
LittleBigPlanet 3,PS4,Sumo Digital,England
LocoRoco,PS4,Team Asobi,Japan
Lovers In A Dangerous Spacetime,PS4,Asteroid Base,Canada
LUMO,PS4,Just Add Water Ltd,England
Mafia: Definitive Edition (2020),PS4,Hangar 13,USA
Mafia III,PS4,Hangar 13,USA
Manhunt,PS4,Rockstar North,Scotland
Manual Samuel,PS4,Perfectly Paranormal,Norway
Marvel's Guardians Of The Galaxy TTG,PS4,Telltale Games,USA
Marvel's Spider-Man,PS4,Insomniac Games,USA
Mass Effect: Legendary Edition,PS4,Bioware,Canada
Max Payne,PS4,Remedy Entertainment,Finland
MediEvil (2019),PS4,Other Ocean Emeryville,USA
Mega Man Legacy Collection,PS4,Digital Eclipse,USA
Mega Man Legacy Collection 2,PS4,Capcom,Japan
Mega Man X Legacy Collection,PS4,Capcom,Japan
