Game,FullPrice,SalePrice,Savings
Terminator: Resistance Enhanced,€44.99,€26.99,€18.00
The Darkside Detective,€12.99,€9.74,€3.25
The Darkside Detective: A Fumble in the Dark,€12.99,€12.99,€0.00
The Pedestrian,€15.99,€10.39,€5.60
The Persistence,€29.99,€0.00,€29.99
The Sinking City,€64.99,€45.49,€19.50
The Stanley Parable: Ultra Deluxe,€21.99,€14.73,€7.26
The Witcher 3: Wild Hunt,€74.98,€24.98,€50.00
Tiny Tina's Wonderlands: Chaotic Great Edition,€89.99,€44.99,€45.00
TOEM,€19.99,€0.00,€19.99
Tony Hawk's Pro Skater 1 + 2 (2021),€54.99,€38.49,€16.50
Twin Robots: Ultimate Edition,€7.99,€5.99,€2.00
Warframe: The New War,€0.00,€0.00,€0.00
Watch Dogs: Legion,€69.99,€34.99,€35.00
Worms Rumble,€14.99,€9.74,€5.25
Wreckfest,€29.99,€0.00,€29.99
Yakuza: Like a Dragon,€89.99,€53.99,€36.00
Accounting Plus,€11.99,€4.79,€7.20
Animal Force,€14.99,€4.99,€10.00
Apex Construct,€19.99,€14.99,€5.00
Apocalypse Rider,€5.99,€5.99,€0.00
Arizona Sunshine,€44.99,€11.24,€33.75
ASTRO BOT Rescue Mission,€39.99,€0.00,€39.99
Batman: Arkham VR,€19.99,€9.99,€10.00
Beat Saber,€29.99,€29.99,€0.00
BoxVR,€29.99,€17.99,€12.00
Carnival Games VR,€19.99,€4.99,€15.00
Catch & Release,€19.99,€19.99,€0.00
CoolpaintrVR,€19.99,€6.99,€13.00
Creed: Rise To Glory,€24.99,€11.99,€13.00
Discovery,€11.99,€4.99,€7.00
DOOM VFR,€29.99,€0.00,€29.99
Dream Match Tennis VR,€14.99,€14.99,€0.00
DriveClub VR,€19.99,€19.99,€0.00
Drunkn Bar Fight,€17.99,€7.99,€10.00
Eagle Flight,€39.99,€12.99,€27.00
EVE: Valkyrie,€29.99,€10.99,€19.00
Everest VR,€9.99,€3.99,€6.00
Everybody’s Golf VR,€29.99,€14.99,€15.00
Floor Plan,€5.99,€0.00,€5.99
Fruit Ninja VR,€16.99,€16.99,€0.00
Groundhog Day: Like Father Like Son,€19.99,€19.99,€0.00
Gun Club VR,€24.99,€12.49,€12.50
Headmaster,€28.98,€14.98,€14.00
Homestar VR,€16.99,€7.99,€9.00
Hotel R n R,€18.99,€11.39,€7.60
Hustle Kings VR,€19.99,€9.99,€10.00
I Expect You To Die,€24.99,€12.49,€12.50
I Expect You to Die 2,€24.99,€0.00,€24.99
Job Simulator VR,€19.99,€19.99,€0.00
Kingdom Hearts: VR Experience,€0.00,€0.00,€0.00
Knockout League,€19.99,€14.99,€5.00
Kona VR,€19.99,€3.99,€16.00
