Game,Console,Developer,Country
Quantum Conundrum,PlayStation 3,Airtight Games,USA
Ratchet & Clank,PlayStation 3,Insomniac Games,USA
Ratchet & Clank 2,PlayStation 3,Insomniac Games,USA
Ratchet & Clank 3,PlayStation 3,Insomniac Games,USA
Ratchet & Clank: A Crack in Time,PlayStation 3,Insomniac Games,USA
Ratchet & Clank: Nexus,PlayStation 3,Insomniac Games,USA
Ratchet & Clank: QForce,PlayStation 3,Insomniac Games,USA
Ratchet & Clank: Quest for Booty,PlayStation 3,Insomniac Games,USA
Ratchet & Clank: Tools of Destruction,PlayStation 3,Insomniac Games,USA
Ratchet: Gladiator,PlayStation 3,Insomniac Games,USA
Rayman 3 HD,PlayStation 3,Ubisoft Montpellier,France
Rayman Origins,PlayStation 3,Ubisoft Montpellier,France
Red Dead Redemption,PlayStation 3,Rockstar San Diego,USA
Resistance,PlayStation 3,Insomniac Games,USA
Saints Row 2,PlayStation 3,Volition,USA
Sam and Max Season 3 The Devils Playhouse TTG,PlayStation 3,Telltale Games,USA
Shadow of the Colossus Classics HD,PlayStation 3,Team Asobi,Japan
Silent Hill HD Collection,PlayStation 3,Konami,Japan
Siren Blood Curse,PlayStation 3,Team Asobi,Japan
Skate 2,PlayStation 3,EA Black Box,Canada
Sly 2: Band of Thieves,PlayStation 3,Sucker Punch Productions,USA
Sly 3: Honour Among Thieves,PlayStation 3,Sucker Punch Productions,USA
Sly Cooper and the Thievius Raccoonus,PlayStation 3,Sucker Punch Productions,USA
Sonic CD,PlayStation 3,Sega,Japan
Sonic Generations,PlayStation 3,Sega,Japan
Spec Ops: The Line,PlayStation 3,Yager Development,Germany
Streets of Rage 2,PlayStation 3,Sega,Japan
Super Rub 'a' Dub,PlayStation 3,Sumo Digital,England
Superfrog HD,PlayStation 3,Team17,England
Syndicate,PlayStation 3,Starbreeze Studios,Sweden
Tales of Grace f,PlayStation 3,Bandai Namco Studios,Japan
Tales of Xillia,PlayStation 3,Bandai Namco Studios,Japan
Tekken 5: Dark Resurrection,PlayStation 3,Bandai Namco Studios,Japan
Tekken Revolution,PlayStation 3,Bandai Namco Studios,Japan
The Amazing Spider-Man,PlayStation 3,Beenox,Canada
The Baconing,PlayStation 3,Hothead Games,Canada
The Cave,PlayStation 3,Double Fine Productions,USA
The Cube,PlayStation 3,Funbox Media,England
The Darkness,PlayStation 3,Starbreeze Studios,Sweden
The Darkness 2,PlayStation 3,Digital Extremes,Canada
The House of the Dead: Overkill,PlayStation 3,Sega,Japan
The Secret of Monkey Island: Special Edition,PlayStation 3,LucasArts,USA
The Simpsons Arcade Game,PlayStation 3,Konami,Japan
The Simpsons Game,PlayStation 3,EA Redwood Shores,USA
The Sims 3,PlayStation 3,Maxis,USA
The Sims 3: Pets,PlayStation 3,Maxis,USA
Tiger Woods PGA Tour 11,PlayStation 3,EA Tiburon,USA
ToeJam and Earl,PlayStation 3,Johnson Voorsanger Productions,USA
ToeJam and Earl: Panic on Funkotron,PlayStation 3,Johnson Voorsanger Productions,USA
Tokyo Jungle,PlayStation 3,Team Asobi,Japan
Tony Hawk's Pro Skater HD,PlayStation 3,Robomodo,USA
Twisted Metal,PlayStation 3,Eat Sleep Play,USA
UFC 2009 Undisputed,PlayStation 3,Yuke's,Japan
Velocity Ultra,PlayStation 3,FuturLab,England
When Vikings Attack,PlayStation 3,Clever Beans,England
XCOM Enemy Unknown,PlayStation 3,Firaxis Games,USA
Yakuza: Dead Souls,PlayStation 3,Ryu Ga Gotoku,Japan
Zombie Tycoon II: Brainhov's Revenge,PlayStation 3,Frima Studio,Canada
[Prototype],PlayStation 4,Radical Entertainment,Canada
[Prototype 2],PlayStation 4,Radical Entertainment,Canada
101 Ways To Die,PlayStation 4,Four Door Lemon,England
60 Seconds! Reatomized,PlayStation 4,Robot Gentleman,Poland
A Boy And His Blob,PlayStation 4,WayForward Technologies Inc,USA
Absolute Drift: Zen Edition,PlayStation 4,FlippFly,USA
Abzû,PlayStation 4,Giant Squid Studios,USA
Active Soccer 2 DX,PlayStation 4,The Fox Software,Italy
Amnesia: Collection,PlayStation 4,Frictional Games,Sweden
Amplitude,PlayStation 4,Harmonix Music Systems,USA
Another World,PlayStation 4,Delphine Software,France
Ape Escape 2,PlayStation 4,Team Asobi,Japan
ARK: Survival Evolved,PlayStation 4,Studio Wildcard,USA
Armello,PlayStation 4,League of Geeks,Australia
Armikrog,PlayStation 4,Pencil Test Studios,USA
Art Of Balance,PlayStation 4,Shin'en Multimedia,Germany
Assault Android Cactus,PlayStation 4,Witch Beam,Australia
Aven Colony,PlayStation 4,Mothership Entertainment,USA
Back To The Future TTG,PlayStation 4,Telltale Games,USA
Badland,PlayStation 4,Frogmind Games,Finland
Batman Season 1 TTG,PlayStation 4,Telltale Games,USA
Batman Season 2 TTG,PlayStation 4,Telltale Games,USA
Batman: Arkham Asylum,PlayStation 4,Rocksteady Studios,England
Batman: Arkham City,PlayStation 4,Rocksteady Studios,England
Batman: Arkham Knight,PlayStation 4,Rocksteady Studios,England
Battlefield 1,PlayStation 4,DICE,Sweden
Bear With Me,PlayStation 4,Exordium Games,Croatia
Beat Cop,PlayStation 4,Pixel Crow,Poland
Beyond Eyes,PlayStation 4,Tiger & Squid,Netherlands
Beyond Two Souls,PlayStation 4,Quantic Dream,France
BioShock 1 & 2: The Collection,PlayStation 4,Blind Squirrel Games,USA
BioShock Infinite: The Collection,PlayStation 4,Blind Squirrel Games,USA
Blacksad: Under the Skin,PlayStation 4,Pendulo Studios,Spain
Blood Bowl 2,PlayStation 4,Cyanide,France
Bloodborne,PlayStation 4,FromSoftware,Japan
BloodRayne 2: ReVamped,PlayStation 5,Terminal Reality,USA
BloodRayne: ReVamped,PlayStation 5,Terminal Reality,USA
Borderlands: Game of the Year Edition,PlayStation 4,Gearbox Software,USA
Borderlands: The Handsome Collection,PlayStation 4,Gearbox Software,USA
Bridge Constructor,PlayStation 4,ClockStone Studios,Austria
Broforce,PlayStation 4,Free Lives,South Africa
Broken Age,PlayStation 4,Double Fine Productions,USA
Brothers: A Tale of Two Sons,PlayStation 4,Starbreeze Studios,Sweden
Bully,PlayStation 4,Rockstar Vancouver,Canada
Burnout Paradise: Remastered,PlayStation 4,Criterion Games,England
Call of Duty: Black Ops III,PlayStation 4,Treyarch,USA
Captain Tsubasa: Rise of New Champions,PlayStation 4,Tamsoft,Japan
Castle Crashers: Remastered,PlayStation 4,The Behemoth,USA
Castlevania Requiem: Symphony of the Night and Rondo of Blood,PlayStation 4,Konami,Japan
Catherine: Full Body,PlayStation 4,Atlus,Japan
Cel Damage HD,PlayStation 4,Finish Line Games,Canada
Celeste,PlayStation 4,Extremely OK Games,Canada
Child Of Light,PlayStation 4,Ubisoft Montreal,Canada
Chime Sharp,PlayStation 4,Chilled Mouse,England
Cities: Skylines,PlayStation 4,Colossal Order,Finland
Claire,PlayStation 4,Hailstorm Games,USA
ClusterTruck,PlayStation 4,Landfall Games,Sweden
Color Slayer,PlayStation 4,The Domaginarium,El Salvador
Concrete Genie,PlayStation 4,Pixelopus,USA
Cosmophony,PlayStation 4,Bento Studio,France
CounterSpy,PlayStation 4,Dynamighty,USA
Crash Bandicoot: N Sane Trilogy,PlayStation 4,Vicarious Visions,USA
Crash Team Racing: Nitro Fueled,PlayStation 4,Beenox,Canada
Croixleur Sigma,PlayStation 4,souvenir circ.,Japan
Curse of the Dead Gods,PlayStation 4,Passtech Games,France
Danger Zone,PlayStation 4,Three Fields Entertainment,England
Dangerous Driving,PlayStation 4,Three Fields Entertainment,England
Dangerous Golf,PlayStation 4,Three Fields Entertainment,England
Dark Chronicle,PlayStation 4,Level-5,Japan
Dark Cloud,PlayStation 4,Level-5,Japan
Dark Souls II: Scholar of the First Sin,PlayStation 4,FromSoftware,Japan
Dark Souls III,PlayStation 4,FromSoftware,Japan
Dark Souls Remastered,PlayStation 4,FromSoftware,Japan
Day Of The Tentacle Remastered,PlayStation 4,LucasArts,USA
Days Gone,PlayStation 4,Bend Studio,USA
Dead End Job,PlayStation 4,Ant Workshop,Scotland
Dead Island: Retro Revenge,PlayStation 4,Empty Clip Studios,USA
Dead or Alive 5: Last Round,PlayStation 4,Team Ninja,Japan
Dead Rising,PlayStation 4,Capcom,Japan
Deadpool,PlayStation 4,High Moon Studios,USA
Death Squared,PlayStation 4,SMG Studio,Australia
DEEEER Simulator: Your Average Everyday Deer Game,PlayStation 4,Gibier Games,Japan
Destroy All Humans!,PlayStation 4,Pandemic Studios,USA
Destroy All Humans! 2,PlayStation 4,Pandemic Studios,USA
Destroy All Humans! Remake,PlayStation 4,Black Forest Games,Germany
Detroit: Become Human,PlayStation 4,Quantic Dream,France
Devil May Cry 4,PlayStation 4,Capcom,Japan
Devil May Cry 5,PlayStation 4,Capcom,Japan
Devil May Cry Trilogy HD Collection,PlayStation 4,Capcom,Japan
Dex,PlayStation 4,Dreadlocks Ltd,Czech Republic
Disney Classic Games: Aladdin & The Lion King,PlayStation 4,Digital Eclipse,USA
Doki-Doki Universe,PlayStation 4,HumaNature Studios,USA
Donut County,PlayStation 4,Ben Esposito,USA
Doom (1993),PlayStation 4,id Software,USA
Doom 64,PlayStation 4,Midway Games,USA
Doom II,PlayStation 4,id Software,USA
Downwell,PlayStation 4,Moppin,Japan
DreamBall,PlayStation 4,Rampage Game Studio,Spain
Dreams,PlayStation 4,Media Molecule,England
Duke Nukem 3D,PlayStation 4,Gearbox Software,USA
Empire of Sin: Deluxe Edition,PlayStation 4,Romero Games,Republic of Ireland
Enter The Gungeon,PlayStation 4,Dodge Roll,USA
Entwined,PlayStation 4,Pixelopus,USA
Escape Plan,PlayStation 4,Fun Bits Interactive,USA
Everybody's Golf,PlayStation 4,Clap Hanz,Japan
Exit the Gungeon,PlayStation 4,Dodge Roll,USA
Fahrenheit,PlayStation 4,Quantic Dream,France
Fallout 4,PlayStation 4,Bethesda Game Studios,USA
Far Cry 3,PlayStation 4,Ubisoft Montreal,Canada
Far Cry 4,PlayStation 4,Ubisoft Montreal,Canada
Far Cry 5,PlayStation 4,Ubisoft Montreal,Canada
Far Cry: New Dawn,PlayStation 4,Ubisoft Montreal,Canada
Far Cry: Primal,PlayStation 4,Ubisoft Montreal,Canada
Fat Princess Adventures,PlayStation 4,Fun Bits Interactive,USA
Fez,PlayStation 4,Polytron Corporation,Canada
FIFA 18,PlayStation 4,EA Vancouver,Canada
FIFA 19,PlayStation 4,EA Vancouver,Canada
FIFA 20,PlayStation 4,EA Vancouver,Canada
Final Fantasy X/X-2 HD Remaster,PlayStation 4,Square Enix,Japan
Final Fantasy XV: Royal Edition,PlayStation 4,Square Enix,Japan
Five Dates,PlayStation 4,Wales Interactive,Wales
Flashback,PlayStation 4,Delphine Software International,France
Flockers,PlayStation 4,Team17,England
flOw,PlayStation 4,Thatgamecompany,USA
Flower,PlayStation 4,Thatgamecompany,USA
forma.8,PlayStation 4,MixedBag,Italy
Formula Retro Racing,PlayStation 4,Repixel8,England
Futuridium,PlayStation 4,MixedBag,Italy
Game Of Thrones TTG,PlayStation 4,Telltale Games,USA
Geometry Wars 3: Dimensions Evolved,PlayStation 4,Lucid Games,England
Ghost Blade HD,PlayStation 4,Hucast Games,Germany
Ghost of Tsushima,PlayStation 4,Sucker Punch Productions,USA
Ghostbusters,PlayStation 4,FireForge Games,USA
Goat Simulator,PlayStation 4,Coffee Stain Studios,Sweden
God of War,PlayStation 4,Santa Monica Studio,USA
God of War III Remastered,PlayStation 4,Santa Monica Studio,USA
Good Dog Bad Dog,PlayStation 4,Play Em,USA
Granblue Fantasy: Versus,PlayStation 4,Arc System Works,Japan
Grand Ages: Medieval,PlayStation 4,Gaming Minds Studios,Germany
Grand Theft Auto III,PlayStation 4,Rockstar North,Scotland
Grand Theft Auto: San Andreas,PlayStation 4,Rockstar North,Scotland
Grand Theft Auto: Vice City,PlayStation 4,Rockstar North,Scotland
Grim Fandango Remastered,PlayStation 4,LucasArts,USA
Harvest Moon: A Wonderful Life,PlayStation 4,Marvelous Interactive,Japan
Hatoful Boyfriend,PlayStation 4,Mediatonic,England
Heart&Slash,PlayStation 4,aheartfulofgames,Spain
Heavy Rain,PlayStation 4,Quantic Dream,France
