Game,Console,Purchase Date
Typoman,PlayStation 4,04/05/2017,"1,738"
UFC 4,PlayStation 4,01/02/2022,4
Ultratron,PlayStation 4,17/03/2017,"1,786"
Unbox: Newbie's Adventure,PlayStation 4,27/05/2022,166
Uncanny Valley,PlayStation 4,23/08/2021,166
Uncharted 2: Among Thieves,PlayStation 4,03/08/2017,"1,647"
Uncharted 3: Drake's Deception,PlayStation 4,03/08/2017,"1,647"
Uncharted 4: A Thief's End,PlayStation 4,22/12/2017,"1,506"
Uncharted: Drake's Fortune,PlayStation 4,03/08/2017,"1,647"
Uncharted: The Lost Legacy,PlayStation 4,04/10/2018,"1,220"
Undertale,PlayStation 4,22/12/2017,"1,506"
UNO,PlayStation 4,09/12/2021,58
Unravel,PlayStation 4,19/01/2017,"1,843"
Until Dawn,PlayStation 4,04/10/2018,"1,220"
Untitled Goose Game,PlayStation 4,17/12/2019,781
Velocity 2X,PlayStation 4,18/11/2015,"2,271"
Viking Squad,PlayStation 4,,"44,597"
Virtua Fighter 5: Ultimate Showdown,PlayStation 4,01/07/2021,219
Volume,PlayStation 4,03/08/2017,"1,647"
Watch_Dogs,PlayStation 4,06/02/2020,730
Watch_Dogs 2,PlayStation 4,22/07/2019,929
while true: learn( ),PlayStation 4,23/08/2021,166
Wipeout Omega Collection,PlayStation 4,29/12/2018,"1,134"
Worms Battlegrounds,PlayStation 4,22/08/2017,"1,628"
Worms WMD,PlayStation 4,22/08/2017,"1,628"
WRC 6,PlayStation 4,24/06/2018,"1,322"
WWE 2K Battlegrounds,PlayStation 4,06/07/2021,214
XCOM 2,PlayStation 4,20/08/2020,534
Xenoraid,PlayStation 4,03/08/2017,"1,647"
Yakuza 0,PlayStation 4,05/10/2021,123
Yakuza 3 Remastered,PlayStation 4,13/10/2021,115
Yakuza 4 Remastered,PlayStation 4,13/10/2021,115
Yakuza 5 Remastered,PlayStation 4,13/10/2021,115
Yakuza 6: The Song of Life,PlayStation 4,05/10/2021,123
Yakuza Kiwami,PlayStation 4,05/10/2021,123
Yakuza Kiwami 2,PlayStation 4,05/10/2021,123
Yomawari: Midnight Shadows,PlayStation 4,10/06/2020,605
Yooka-Laylee,PlayStation 4,23/02/2019,"1,078"
Yooka-Laylee and the Impossible Lair,PlayStation 4,25/12/2019,773
Yu-Gi-Oh! Legacy of the Duelist,PlayStation 4,10/09/2015,"2,340"
A Plague Tale: Innocence,PlayStation 5,17/01/2021,384
Apex Legends,PlayStation 5,19/12/2022,50
Art of Rally,PlayStation 5,03/03/2022,128
Assassin's Creed Valhalla: Ultimate Edition,PlayStation 5,21/11/2021,76
Astro's Playroom,PlayStation 5,16/05/2021,265
AWAY: The Survival Series,PlayStation 5,28/09/2021,130
Axiom Verge 2,PlayStation 5,03/01/2023,45
Biomutant,PlayStation 5,09/09/2022,14
BloodRayne: ReVamped,PS5,20/03/2022
BloodRayne 2: ReVamped,PS5,20/03/2022
Borderlands 3,PlayStation 5,13/09/2019,876
Bugsnax,PlayStation 5,27/05/2021,254
Can't Drive This,PlayStation 5,08/06/2022,166
Chicken Police: Paint It Red,PlayStation 5,15/04/2022,166
Chicory: A Colorful Tale,PlayStation 5,03/07/2022,166
Cloudpunk,PlayStation 5,23/08/2022,1
Concept Destruction,PlayStation 5,04/06/2021,246
Crash Bandicoot 4: It's About Time,PlayStation 5,01/10/2020,492
Cult of the Lamb,PlayStation 5,30/10/2022,6
Cyberpunk 2077,PlayStation 5,15/02/2022,128
Deep Rock Galactic,PlayStation 5,04/01/2022,32
Destiny 2,PlayStation 5,07/02/2023,3
Destroy All Humans 2: Reprobed,PlayStation 5,07/09/2022,21
DIRT 5,PlayStation 5,04/01/2022,32
Disney Dreamlight Valley,PlayStation 5,18/11/2022,100
Evil Inside,PlayStation 5,04/06/2021,246
F1 2021,PlayStation 5,07/09/2021,151
F1 Manager,PlayStation 5,27/12/2022,50
Fall Guys: Ultimate Knockout,PlayStation 5,19/12/2022,50
Far Cry 6: Gold Edition,PlayStation 5,02/02/2022,3
FIFA 21,PlayStation 5,18/05/2021,263
FIFA 22,PlayStation 5,03/05/2022,166
Final Fantasy VII Remake: Intergrade,PlayStation 5,03/08/2022,1
First Class Trouble,PlayStation 5,02/11/2021,95
Fortnite,PlayStation 5,13/01/2022,"1,332"
Genshin Impact,PlayStation 5,18/05/2021,263
Ghostrunner,PlayStation 5,01/03/2022,128
Ghostwire: Tokyo,PlayStation 5,27/05/2022,166
Godfall,PlayStation 5,09/12/2021,58
Grand Theft Auto V,PlayStation 5,20/03/2022,"1,524"
Heavenly Bodies,PlayStation 5,02/11/2022,3
Hell Let Loose,PlayStation 5,05/10/2021,123
Hogwarts Legacy,PlayStation 5,07/02/2023,3
Horizon Forbidden West,PlayStation 5,28/12/2022,50
Hot Wheels Unleashed,PlayStation 5,05/10/2022,21
Human Fall Flat,PlayStation 5,07/08/2017,"1,643"
In Rays of the Light,PlayStation 5,04/06/2021,246
Infliction: Extended Cut,PlayStation 5,04/06/2021,246
It Takes Two,PlayStation 5,06/01/2022,30
Judgment,PlayStation 5,26/02/2023,1
Kena: Bridge of Spirits,PlayStation 5,25/12/2021,42
Kerbal Space Program: Enhanced Edition,PlayStation 5,24/03/2019,"1,049"
Klonoa Phantasy Reverie Series,PlayStation 5,18/11/2022,100
Knockout City,PlayStation 5,02/11/2021,95
Maneater,PlayStation 5,27/05/2021,254
Maquette,PlayStation 5,04/06/2021,246
Marvel's Spider-Man: Miles Morales,PlayStation 5,18/11/2022,100
Metro Exodus,PlayStation 5,28/07/2021,192
Nickelodeon All Stars Brawl,PlayStation 5,08/06/2022,166
Nioh 2,PlayStation 5,02/11/2022,6
No Man's Sky,PlayStation 5,02/06/2021,248
Oddworld: Soulstorm,PlayStation 5,06/04/2021,305
OlliOlli World,PlayStation 5,28/12/2022,50
One Escape,PlayStation 5,19/05/2021,262
Overcooked: All You Can Eat Edition,PlayStation 5,04/05/2017,"1,738"
Ovivo,PlayStation 5,04/06/2021,246
Planet Coaster,PlayStation 5,01/02/2022,4
Potion Permit,PlayStation 5,26/12/2022,50
Ratchet & Clank: Rift Apart,PlayStation 5,25/12/2021,42
Resident Evil Village,PlayStation 5,20/10/2021,108
Returnal,PlayStation 5,18/11/2022,100
Rogue Company,PlayStation 5,19/05/2021,262
Sackboy: A Big Adventure,PlayStation 5,18/11/2022,100
Saints Row The Third: Remastered,PlayStation 5,22/07/2020,563
Shantae and The Pirate's Curse,PlayStation 5,30/10/2022,6
Shing!,PlayStation 5,21/07/2021,199
Sir Lovelot,PlayStation 5,04/06/2021,246
Sonic Origins,PlayStation 5,13/09/2022,13
Spacebase Startopia,PlayStation 5,21/07/2021,199
Spirit of the North: Enhanced Edition,PlayStation 5,27/05/2021,254
Star Wars Jedi: Fallen Order,PlayStation 5,02/02/2022,3
Stray,PlayStation 5,24/11/2022,100
Subnautica,PlayStation 5,06/04/2021,305
Subnautica: Below Zero,PlayStation 5,30/09/2021,128
Sumatra: Fate of Yandi,PlayStation 5,19/05/2021,262
Terminator: Resistance Enhanced,PlayStation 5,16/09/2021,142
The Darkside Detective,PlayStation 5,21/07/2021,199
The Darkside Detective: A Fumble in the Dark,PlayStation 5,20/10/2022,4
The Pedestrian,PlayStation 5,02/06/2021,248
The Persistence,PlayStation 5,29/01/2022,95
The Sinking City,PlayStation 5,21/07/2021,199
The Stanley Parable: Ultra Deluxe,PlayStation 5,03/08/2022,1
The Witcher 3: Wild Hunt,PlayStation 5,14/12/2022,50
Tiny Tina's Wonderlands: Chaotic Great Edition,PlayStation 5,03/02/2023,7
TOEM,PlayStation 5,07/09/2022,21
Tony Hawk's Pro Skater 1 + 2 Remake,PlayStation 5,22/11/2020,440
Twin Robots: Ultimate Edition,PlayStation 5,19/05/2021,262
Warframe: The New War,PlayStation 5,18/05/2021,263
Watch Dogs: Legion,PlayStation 5,02/06/2021,248
Worms Rumble,PlayStation 5,19/05/2021,262
Wreckfest,PlayStation 5,18/05/2021,263
Yakuza 7: Like a Dragon,PlayStation 5,09/06/2021,241
Ape Escape,PlayStation Portable,12/02/2017,"1,819"
Burnout Legends,PlayStation Portable,30/09/2018,"1,224"
Crazy Taxi: Fare Wars,PlayStation Portable,30/09/2018,"1,224"
Daxter,PlayStation Portable,06/10/2017,"1,583"
Dead or Alive Paradise,PlayStation Portable,13/11/2015,"2,276"
Everybody's Golf 2,PlayStation Portable,06/10/2017,"1,583"
Final Fantasy,PlayStation Portable,18/02/2017,"1,813"
Final Fantasy II,PlayStation Portable,18/02/2017,"1,813"
Final Fantasy III,PlayStation Portable,18/02/2017,"1,813"
Final Fantasy IV,PlayStation Portable,18/02/2017,"1,813"
Grand Theft Auto: Chinatown Wars,PlayStation Portable,26/11/2016,"1,897"
Grand Theft Auto: Liberty City Stories,PlayStation Portable,26/11/2016,"1,897"
Grand Theft Auto: Vice City Stories,PlayStation Portable,26/11/2016,"1,897"
Gravity Crash,PlayStation Portable,20/08/2015,"2,361"
Jak and Daxter: The Lost Frontier,PlayStation Portable,06/10/2017,"1,583"
LEGO Batman,PlayStation Portable,20/08/2015,"2,361"
LEGO Indiana Jones,PlayStation Portable,20/08/2015,"2,361"
LEGO Pirates of the Caribbean,PlayStation Portable,20/08/2015,"2,361"
LEGO Star Wars III: The Clone Wars,PlayStation Portable,20/08/2015,"2,361"
Prinny,PlayStation Portable,30/09/2018,"1,224"
Ratchet & Clank: Size Matters,PlayStation Portable,02/10/2015,"2,318"
Resistance: Retribution,PlayStation Portable,06/10/2017,"1,583"
Super Monkey Ball Adventure,PlayStation Portable,30/09/2018,"1,224"
Tomb Raider: Anniversary,PlayStation Portable,12/03/2017,"1,791"
Tomb Raider: Legend,PlayStation Portable,12/03/2017,"1,791"
Wipeout Pulse,PlayStation Portable,06/10/2017,"1,583"
Crazy Market,PlayStation Vita,02/07/2015,"2,410"
Deathmatch Village,PlayStation Vita,02/07/2015,"2,410"
Fat Princess: Piece of Cake,PlayStation Vita,01/02/2015,"2,561"
Flame Over,PlayStation Vita,30/09/2018,"1,224"
Football Manager Classic 2014,PlayStation Vita,01/06/2014,"2,806"
Get Off My Lawn!,PlayStation Vita,10/02/2015,"2,552"
Gunslugs,PlayStation Vita,07/04/2017,"1,765"
Jet Set Radio,PlayStation Vita,30/09/2018,"1,224"
LEGO Batman 2: DC Super Heroes,PlayStation Vita,20/08/2015,"2,361"
ModNation Racers: Road Trip,PlayStation Vita,18/11/2015,"2,271"
No Heroes Allowed: No Puzzles Either!,PlayStation Vita,02/07/2015,"2,410"
Paint Park,PlayStation Vita,02/07/2015,"2,410"
Paint Park Plus,PlayStation Vita,02/07/2015,"2,410"
PlayStation Vita Pets,PlayStation Vita,02/08/2015,"2,379"
Quell Memento,PlayStation Vita,15/04/2017,"1,757"
Rocketbirds: Hardboiled Chicken,PlayStation Vita,28/11/2015,"2,261"
Silent Hill: Book of Memories,PlayStation Vita,22/10/2016,"1,932"
Skeleton Rider,PlayStation Vita,07/04/2017,"1,765"
Sly Cooper: Thieves in Time,PlayStation Vita,06/10/2017,"1,583"
Spy Hunter,PlayStation Vita,30/09/2018,"1,224"
Street Fighter X Tekken,PlayStation Vita,31/01/2017,"1,831"
SunFlowers,PlayStation Vita,30/09/2018,"1,224"
Surge Deluxe,PlayStation Vita,30/09/2018,"1,224"
Table Football,PlayStation Vita,02/07/2015,"2,410"
Table Top Racing,PlayStation Vita,11/10/2019,848
TxK,PlayStation Vita,25/12/2015,"2,234"
Uncharted: Fight for Fortune,PlayStation Vita,30/08/2015,"2,351"
Uncharted: Golden Abyss,PlayStation Vita,02/08/2015,"2,379"
Wanderjahr,PlayStation Vita,30/09/2018,"1,224"
Worms Revolution Extreme,PlayStation Vita,16/07/2015,"2,396"
Yomawari: Night Alone,PlayStation Vita,15/04/2017,"1,757"
Zero Escape: Virtue's Last Reward,PlayStation Vita,02/07/2015,"2,410"
Accounting+,PlayStation VR,25/08/2021,164
Animal Force,PlayStation VR,22/03/2020,685
Apex Construct,PlayStation VR,07/01/2019,"1,125"
Apocalypse Rider,PlayStation VR,13/03/2020,694
Arizona Sunshine,PlayStation VR,16/11/2021,81
ASTRO BOT Rescue Mission,PlayStation VR,12/01/2019,"1,120"
Batman: Arkham VR,PlayStation VR,07/01/2019,"1,125"
Beat Saber,PlayStation VR,10/01/2019,"1,122"
BoxVR,PlayStation VR,25/12/2019,773
Carnival Games VR,PlayStation VR,03/01/2019,"1,129"
Catch & Release,PlayStation VR,10/01/2019,"1,122"
CoolpaintrVR,PlayStation VR,07/01/2019,"1,125"
Creed: Rise To Glory,PlayStation VR,24/03/2019,"1,049"
Discovery,PlayStation VR,07/01/2019,"1,125"
DOOM VFR,PlayStation VR,03/01/2019,"1,129"
Dream Match Tennis VR,PlayStation VR,10/01/2019,"1,122"
DriveClub VR,PlayStation VR,10/01/2019,"1,122"
Drunkn Bar Fight,PlayStation VR,09/04/2019,"1,033"
Eagle Flight,PlayStation VR,01/01/2019,"1,131"
EVE: Valkyrie,PlayStation VR,07/01/2019,"1,125"
Everest VR,PlayStation VR,01/01/2019,"1,131"
Everybody’s Golf VR,PlayStation VR,22/03/2020,685
Floor Plan,PlayStation VR,07/09/2021,151
Fruit Ninja VR,PlayStation VR,10/01/2019,"1,122"
Groundhog Day: Like Father Like Son,PlayStation VR,05/12/2019,793
Gun Club VR,PlayStation VR,09/09/2019,880
Headmaster,PlayStation VR,01/01/2019,"1,131"
Homestar VR,PlayStation VR,03/01/2019,"1,129"
Hotel R'n'R,PlayStation VR,25/02/2021,345
Hustle Kings VR,PlayStation VR,03/01/2019,"1,129"
I Expect You To Die,PlayStation VR,03/01/2019,"1,129"
I Expect You to Die 2,PlayStation VR,25/12/2021,42
Job Simulator VR,PlayStation VR,10/01/2019,"1,122"
Kingdom Hearts: VR Experience,PlayStation VR,02/11/2021,95
Knockout League,PlayStation VR,03/01/2019,"1,129"
Kona VR,PlayStation VR,05/12/2019,793
Lethal VR,PlayStation VR,05/12/2019,793
Marvel's Iron Man VR,PlayStation VR,17/09/2020,506
Mervils: A VR Adventure,PlayStation VR,01/01/2019,"1,131"
Moss,PlayStation VR,03/01/2019,"1,129"
"Penn & Teller VR: F U, U, U & U",PlayStation VR,22/08/2019,898
Perfect VR,PlayStation VR,28/08/2020,526
PlayStation VR Worlds,PlayStation VR,29/12/2018,"1,134"
Psychonauts In The Rhombus Of Ruin VR,PlayStation VR,07/01/2019,"1,125"
Rez Infinite VR,PlayStation VR,19/03/2019,"1,054"
Rick & Morty: Virtual Rick-ality,PlayStation VR,10/01/2019,"1,122"
RIGS: Mechanized Combat League VR,PlayStation VR,01/01/2019,"1,131"
Sam & Max: This Time It's Virtual,PlayStation VR,27/05/2022,166
Shooty Fruity,PlayStation VR,03/01/2019,"1,129"
Skyrim VR,PlayStation VR,04/01/2019,"1,128"
Sniper Elite VR,PlayStation VR,27/05/2022,166
Space Pirate Trainer VR,PlayStation VR,03/01/2019,"1,129"
Sprint Vector,PlayStation VR,03/01/2019,"1,129"
Star Trek: Bridge Crew VR,PlayStation VR,07/01/2019,"1,125"
Superhot VR,PlayStation VR,07/01/2019,"1,125"
Tetris Effect: Connected,PlayStation VR,10/01/2019,"1,122"
The American Dream,PlayStation VR,09/04/2019,"1,033"
The Guy VR,PlayStation VR,25/12/2021,42
The Playroom VR,PlayStation VR,04/01/2019,"1,128"
The Walking Dead: Saints and Sinners,PlayStation VR,02/11/2021,95
Tiny Trax,PlayStation VR,10/01/2019,"1,122"
Track Lab,PlayStation VR,05/12/2019,793
Trackmania Turbo,PlayStation VR,09/06/2019,972
Traffic Jams,PlayStation VR,17/11/2021,80
Tumble VR,PlayStation VR,01/01/2019,"1,131"
Ultrawings,PlayStation VR,22/03/2020,685
Until Dawn: Rush Of Blood VR,PlayStation VR,03/01/2019,"1,129"
Until You Fall,PlayStation VR,02/11/2021,95
VR Karts,PlayStation VR,30/05/2019,982
VR Ping Pong,PlayStation VR,01/01/2019,"1,131"
VR The Diner Duo,PlayStation VR,01/01/2019,"1,131"
Wanderer,PlayStation VR,27/04/2022,166
You Are Being Followed,PlayStation VR,06/07/2021,214
