Game,Price,Paid,Savings,Compatibility,
Dangerous Driving,€29.99,€7.49,€22.50,,
Dangerous Golf,€7.99,€2.99,€5.00,,
Dark Chronicle,€14.99,€14.99,€0.00,,
Dark Cloud,€14.99,€8.99,€6.00,,
Dark Souls II: Scholar of the First Sin,€19.99,€9.99,€10.00,,
Dark Souls III,€49.99,€11.99,€38.00,,
Dark Souls Remastered,€39.99,€14.79,€25.20,,
Day Of The Tentacle Remastered,€14.99,€4.74,€10.25,VITA,
Days Gone,€69.99,€0.00,€69.99,,
Dead End Job,€14.99,€2.99,€12.00,,
Dead Island: Retro Revenge,€4.99,€2.99,€2.00,,
Dead or Alive 5: Last Round,€59.98,€33.98,€26.00,PS3 and VITA,
Dead Rising,€19.99,€4.99,€15.00,,
Deadpool,€39.99,€19.99,€20.00,,
Death Squared,€13.99,€6.99,€7.00,,
DEEEER Simulator,€16.99,€13.59,€3.40,,
Deep Rock Galactic,€29.99,€0.00,€29.99,,
Destiny 2,€0.00,€0.00,€0.00,,
Destroy All Humans!,€19.99,€7.99,€12.00,,
Destroy All Humans! Remake,€39.99,€31.99,€8.00,,
Destroy All Humans! 2,€19.99,€7.99,€12.00,,
Detroit: Become Human,€29.99,€0.00,€29.99,,
Devil May Cry Trilogy HD Collection,€21.99,€10.99,€11.00,,
Devil May Cry 4,€22.99,€10.99,€12.00,,
Devil May Cry 5,€49.99,€44.99,€5.00,,
Dex,€19.99,€9.99,€10.00,VITA,
DIRT 5,€69.99,€0.00,€69.99,,
Disney Classic Games: Aladdin & The Lion King,€34.99,€34.99,€0.00,,
Doki-Doki Universe,€7.49,€1.99,€5.50,PS3 and VITA,
Donut County,€12.99,€6.49,€6.50,,
Doom (1993),€4.99,€2.49,€2.50,,
Doom II,€4.99,€2.49,€2.50,,
Doom 64,€4.99,€2.49,€2.50,,
Downwell,€4.99,€1.99,€3.00,VITA,
DreamBall,€5.99,€5.99,€0.00,,
Dreams,€39.99,€29.99,€10.00,,
Duke Nukem 3D,€22.98,€8.98,€14.00,PS3 and VITA,
Entwined,€7.99,€1.99,€6.00,PS3 and VITA,
Escape Plan,€19.99,€19.99,€0.00,PS3 and VITA,
Everybody's Golf,€75.93,€55.93,€20.00,,
Evil Inside,€12.99,€9.09,€3.90,,
F1 2021,€69.99,€0.00,€69.99,,
Fahrenheit,€13.49,€5.39,€8.10,,
Fall Guys: Ultimate Knockout,€19.99,€0.00,€19.99,,
Fallout 4,€19.99,€12.99,€7.00,,
Far Cry 3,€29.99,€17.99,€12.00,,
Far Cry 4,€24.99,€7.99,€17.00,,
Far Cry 5,€99.98,€49.98,€50.00,,
Far Cry 6: Gold Edition,€99.99,€59.99,€40.00,,
Far Cry: New Dawn,€54.99,€27.49,€27.50,,
Far Cry: Primal,€24.99,€7.99,€17.00,,
Fat Princess Adventures,€19.99,€9.99,€10.00,,
Fez,€9.99,€1.99,€8.00,PS3 and VITA,
FIFA 18,€69.99,€69.99,€0.00,,
FIFA 19,€69.99,€39.89,€30.10,,
FIFA 20,€69.99,€27.99,€42.00,,
FIFA 21,€89.99,€24.29,€65.70,,
FIFA 22,€79.99,€0.00,€79.99,,
Final Fantasy X/X-2 HD Remaster,€29.99,€14.99,€15.00,,
Final Fantasy XV: Royal Edition,€34.99,€0.00,€34.99,,
First Class Trouble,€19.99,€0.00,€19.99,,
Five Dates,€11.66,€5.83,€5.83,,
Flashback,€19.99,€0.99,€19.00,,
Flockers,€24.99,€4.99,€20.00,,
flOw,€4.99,€1.99,€3.00,PS3 and VITA,
Flower,€7.99,€1.99,€6.00,PS3 and VITA,
