Game,FullPrice,SalePrice,Savings
Game Of Thrones TTG,€14.99,€14.99,€0.00
Geometry Wars 3: Dimensions Evolved,€14.99,€3.99,€11.00
Ghost Blade HD,€8.99,€3.99,€5.00
Ghost of Tsushima,€69.99,€49.69,€20.30
Ghostbusters,€29.99,€7.99,€22.00
Goat Simulator,€31.95,€18.55,€13.40
God of War (2018),€19.99,€0.00,€19.99
God of War III Remastered,€19.99,€9.99,€10.00
Good Dog Bad Dog,€16.99,€0.00,€16.99
Granblue Fantasy: Versus,€19.99,€0.00,€19.99
Grand Ages: Medieval,€39.99,€3.99,€36.00
Grand Theft Auto III (2001),€10.99,€5.99,€5.00
Grand Theft Auto: San Andreas (2004),€12.00,€7.00,€5.00
Grand Theft Auto: Vice City (2002),€12.00,€7.00,€5.00
Grim Fandango Remastered,€14.99,€3.99,€11.00
Harvest Moon: A Wonderful Life,€14.99,€4.99,€10.00
Hatoful Boyfriend,€9.99,€2.99,€7.00
Heart&Slash,€19.99,€3.99,€16.00
Heavy Rain,€22.99,€8.99,€14.00
Helldivers,€29.99,€29.99,€0.00
Hitman 2,€69.99,€0.00,€69.99
Hohokum,€12.99,€3.99,€9.00
Hollow Knight: Voidheart Edition,€14.49,€0.00,€14.49
Home,€4.99,€1.99,€3.00
HoPiKo,€6.99,€1.99,€5.00
Horizon Zero Dawn,€34.98,€27.98,€7.00
Hotline Miami,9.99,9.99,0.00
Hotline Miami 2: Wrong Number,€14.99,€3.59,€11.40
Hue,€14.99,€4.99,€10.00
I am Bread,€12.99,€2.59,€10.40
inFamous First Light,€14.99,€7.99,€7.00
inFamous Second Son,€14.99,€6.99,€8.00
Injustice: Gods Among Us,€59.99,€9.59,€50.40
Injustice 2,€19.99,€0.00,€19.99
Jak 3,€26.98,€26.98,€0.00
Jak and Daxter: The Precursor Legacy,€26.98,€26.98,€0.00
Jak II,€24.97,€24.97,€0.00
Jak X: Combat Racing,€9.99,€9.99,€0.00
Jazzpunk: Director's Cut,€17.99,€4.99,€13.00
Jetpack Joyride,€5.58,€3.98,€1.60
Journey,€14.99,€14.99,€0.00
Just Die Already,€13.99,€6.29,€7.70
Kandagawa Jet Girls,€39.99,€14.79,€25.20
Katamari Damacy: Reroll,€49.98,€40.98,€9.00
Keep Talking and Nobody Explodes,€14.99,€7.49,€7.50
Kingdom Hearts HD 1.5 & 2.5,€36.99,€12.10,€24.89
Kingdom Hearts HD 2.8 Final Chapter Prologue,€36.99,€12.10,€24.89
Kingdom Hearts III,€35.99,€12.09,€23.90
Kingdoms of Amalur: Re-Reckoning,€39.99,€0.00,€39.99
Knack,€19.99,€7.99,€12.00
Knack 2,€39.99,€13.99,€26.00
LA Cops,€13.99,€2.99,€11.00
LEGO City Undercover,€59.99,€16.99,€43.00
LEGO DC Super-Villains,€59.99,€0.00,€59.99
LEGO Harry Potter Collection,€39.99,€19.99,€20.00
LEGO Marvel Super-Heroes,€39.99,€9.99,€30.00
Leisure Suit Larry: Wet Dreams Don't Dry,€39.99,€7.99,€32.00
Leisure Suit Larry: Wet Dreams Dry Twice,€39.99,€11.99,€28.00
Lichtspeer,€9.99,€5.99,€4.00
Life Is Strange,€16.99,€5.99,€11.00
Little Nightmares,€19.99,€0.00,€19.99
LittleBigPlanet 3,€19.99,€9.99,€10.00
LocoRoco,€14.99,€14.99,€0.00
Lovers In A Dangerous Spacetime,€14.99,€4.99,€10.00
LUMO,€17.99,€9.99,€8.00
Mafia: Definitive Edition (2020),€39.99,€29.99,€10.00
Mafia III,€39.99,€9.99,€30.00
Manhunt,€13.99,€5.99,€8.00
Manual Samuel,€9.99,€4.99,€5.00
Marvel's Guardians Of The Galaxy TTG,€14.99,€14.99,€0.00
Marvel's Spider-Man,€79.99,€0.00,€79.99
Mass Effect: Legendary Edition,€69.99,€44.79,€25.20
