Game,Console,Developer,Country
The Cube,PS3,Funbox Media,England
The Darkness,PS3,Starbreeze Studios,Sweden
The Darkness 2,PS3,Digital Extremes,Canada
The House of the Dead: Overkill,PS3,Sega,Japan
The Secret of Monkey Island: Special Edition,PS3,LucasArts,USA
The Simpsons Arcade Game,PS3,Konami,Japan
The Simpsons Game,PS3,EA Redwood Shores,USA
The Sims 3,PS3,Maxis,USA
The Sims 3: Pets,PS3,Maxis,USA
Tiger Woods PGA Tour 11,PS3,EA Tiburon,USA
ToeJam and Earl (1991),PS3,Johnson Voorsanger Productions,USA
ToeJam and Earl: Panic on Funkotron,PS3,Johnson Voorsanger Productions,USA
Tokyo Jungle,PS3,Team Asobi,Japan
Tony Hawk's Pro Skater HD,PS3,Robomodo,USA
Twisted Metal (2012),PS3,Eat Sleep Play,USA
UFC 2009 Undisputed,PS3,Yuke's,Japan
Velocity Ultra,PS3,FuturLab,England
When Vikings Attack,PS3,Clever Beans,England
XCOM Enemy Unknown,PS3,Firaxis Games,USA
Yakuza: Dead Souls,PS3,Ryu Ga Gotoku,Japan
Zombie Tycoon II: Brainhov's Revenge,PS3,Frima Studio,Canada
























