Game,Console,Developer,Country
Rayman Origins,PS3,Ubisoft Montpellier,France
Red Dead Redemption,PS3,Rockstar San Diego,USA
Resistance,PS3,Insomniac Games,USA
Saints Row 2,PS3,Volition,USA
Sam and Max Season 3: The Devils Playhouse TTG,PS3,Telltale Games,USA
Shadow of the Colossus Classics HD,PS3,Team Asobi,Japan
Silent Hill HD Collection,PS3,Konami,Japan
Siren Blood Curse,PS3,Team Asobi,Japan
Skate 2,PS3,EA Black Box,Canada
Sly 2: Band of Thieves,PS3,Sucker Punch Productions,USA
Sly 3: Honour Among Thieves,PS3,Sucker Punch Productions,USA
Sly Cooper and the Thievius Raccoonus,PS3,Sucker Punch Productions,USA
Sonic Generations,PS3,Sega,Japan
Spec Ops: The Line,PS3,Yager Development,Germany
Streets of Rage 2,PS3,Sega,Japan
Super Rub a Dub,PS3,Sumo Digital,England
Superfrog HD,PS3,Team17,England
Syndicate,PS3,Starbreeze Studios,Sweden
Tales of Grace f,PS3,Bandai Namco Studios,Japan
Tales of Xillia,PS3,Bandai Namco Studios,Japan
Tekken 5: Dark Resurrection,PS3,Bandai Namco Studios,Japan
Tekken Revolution,PS3,Bandai Namco Studios,Japan
The Amazing Spider-Man,PS3,Beenox,Canada
The Baconing,PS3,Hothead Games,Canada
The Cave,PS3,Double Fine Productions,USA
The Cube,PS3,Funbox Media,England
The Darkness,PS3,Starbreeze Studios,Sweden
The Darkness 2,PS3,Digital Extremes,Canada
The House of the Dead: Overkill,PS3,Sega,Japan
The Secret of Monkey Island: Special Edition,PS3,LucasArts,USA
The Simpsons Arcade Game,PS3,Konami,Japan
The Simpsons Game,PS3,EA Redwood Shores,USA
The Sims 3,PS3,Maxis,USA
The Sims 3: Pets,PS3,Maxis,USA
Tiger Woods PGA Tour 11,PS3,EA Tiburon,USA
ToeJam and Earl (1991),PS3,Johnson Voorsanger Productions,USA
ToeJam and Earl: Panic on Funkotron,PS3,Johnson Voorsanger Productions,USA
Tokyo Jungle,PS3,Team Asobi,Japan
Tony Hawk's Pro Skater HD,PS3,Robomodo,USA
Twisted Metal (2012),PS3,Eat Sleep Play,USA
UFC 2009 Undisputed,PS3,Yuke's,Japan
Velocity Ultra,PS3,FuturLab,England
When Vikings Attack,PS3,Clever Beans,England
