629,That`s You!,2017-07-04,Wish Studios,England
646,The Unfinished Swan,2017-07-09,Giant Sparrow,USA
331,CounterSpy,2017-07-09,Dynamighty,USA
364,Doki-Doki Universe,2017-07-09,HumaNature Studios,USA
592,Sound Shapes,2017-07-09,Queasy Games,Canada
561,RESOGUN,2017-07-09,Housemarque,Finland
376,Entwined,2017-07-09,Pixelopus,USA
422,Heart&Slash,2017-07-09,aheartfulofgames,Spain
426,Hohokum,2017-07-09,Honeyslug,England
397,flOw,2017-07-09,Thatgamecompany,USA
398,Flower,2017-07-09,Thatgamecompany,USA
449,Journey,2017-07-09,thatgamecompany,USA
524,PaRappa The Rapper Remastered,2017-07-11,Team Asobi (Japan Studio),Japan
377,Escape Plan,2017-07-13,Fun Bits Interactive,USA
271,101 Ways To Die,2017-07-16,Four Door Lemon,England
298,Beyond Eyes,2017-07-23,Tiger & Squid,Netherlands
323,Chime Sharp,2017-07-23,Chilled Mouse,England
388,Fez,2017-07-23,Polytron Corporation,Canada
542,Pumped BMX+,2017-07-23,Yeah, Us!,England
478,LocoRoco,2017-07-29,Team Asobi (Japan Studio),Japan
488,Max Payne,2017-08-03,Remedy Entertainment,Finland
483,Manhunt,2017-08-03,Rockstar North,Scotland
467,Lichtspeer,2017-08-03,Lichthund,Poland
549,Red Dead Revolver,2017-08-03,Rockstar San Diego,USA
565,Risk Of Rain,2017-08-03,Hopoo Games,USA
600,Stardew Valley,2017-08-03,ConcernedApe,USA
310,Broken Age,2017-08-03,Double Fine Productions,USA
315,Canis Canem Edit (Bully),2017-08-03,Rockstar Vancouver,Canada
273,A Boy And His Blob,2017-08-03,WayForward Technologies Inc,USA
330,Cosmophony,2017-08-03,Bento Studio,France
651,The Warriors,2017-08-03,Rockstar Toronto,Canada
678,Uncharted: Drake`s Fortune,2017-08-03,Naughty Dog,USA
679,Uncharted 2: Among Thieves,2017-08-03,Naughty Dog,USA
680,Uncharted 3: Drake`s Deception,2017-08-03,Naughty Dog,USA
691,Volume,2017-08-03,Mike Bithell,England
705,Xenoraid,2017-08-03,10tons,Finland
665,Trine: Enchanted Edition,2017-08-04,Frozenbyte,Finland
666,Trine 2: Complete Story,2017-08-04,Frozenbyte,Finland
667,Trine 3: The Artifacts Of Power,2017-08-04,Frozenbyte,Finland
652,The Witness,2017-08-04,Thekla Inc,USA
283,Armello,2017-08-04,League of Geeks,Australia
584,ShredIt,2017-08-04,Extra Mile Studios,Scotland
563,Riptide GP: Renegade,2017-08-04,Vector Unit,USA
526,Party Hard,2017-08-04,Pinokl Games,Ukraine
504,Mother Russia Bleeds,2017-08-04,Le Cartel Studio,France
484,Manual Samuel,2017-08-04,Perfectly Paranormal,Norway
447,Jazzpunk: Director`s Cut,2017-08-04,Necrophone Games,Canada
405,Ghost Blade HD,2017-08-04,Hucast Games,Germany
